Year,Stage,Host-Country,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,MatchID
1990,Group B,Italy,Cameroon,2,1,Romania,,108
1990,Group D,Italy,Yugoslavia,1,0,Colombia,,120
1990,Group A,Italy,Italy,1,0,USA,,265
1990,Group A,Italy,Austria,0,1,Czechoslovakia,,43
1990,Group D,Italy,Germany FR,5,1,"rn"">United Arab Emirates",,198
1990,Group C,Italy,Brazil,1,0,Costa Rica,,73
1990,Group C,Italy,Sweden,1,2,Scotland,,348
1990,Group F,Italy,England,0,0,Netherlands,,160
1990,Group F,Italy,"rn"">Republic of Ireland",0,0,Egypt,,152
1990,Group E,Italy,Korea Republic,1,3,Spain,,175
1990,Group E,Italy,Belgium,3,1,Uruguay,,66
1990,Group B,Italy,Argentina,1,1,Romania,,29
1990,Group B,Italy,Cameroon,0,4,Soviet Union,,111
1990,Group D,Italy,Germany FR,1,1,Colombia,,114
1990,Group D,Italy,Yugoslavia,4,1,"rn"">United Arab Emirates",,364
